"State","year","mean_no2","mean_o3","mean_so2","mean_co"
"Alabama",2013,12.0656349677419,0.0120988387096774,0.750311306451613,0.211006887096774
"Alabama",2014,9.4117458092869,0.0246601492537313,1.18651712935323,0.205921470149254
"Alabama",2015,9.07858020666667,0.0239999666666667,1.00942902,0.22102668
"Alabama",2016,9.52487319463087,0.028347744966443,0.83511755033557,0.209514137583893
"Alaska",2014,11.6585096089385,0.0103065754189944,5.95153126815642,0.455443868715084
"Alaska",2015,11.1165885993641,0.0142176327503975,6.15901097138315,0.405221246422893
"Arizona",2000,26.4875015898749,0.0236552434584755,2.30322573748578,0.745755905005688
"Arizona",2001,22.7447234286501,0.0216284523415978,1.66660134793388,0.649471539944904
"Arizona",2002,23.6650538903047,0.0228031180055402,1.87391659722992,0.705928390581717
"Arizona",2003,23.1011512341095,0.022508490874764,1.79977489553178,0.632011437382001
"Arizona",2004,20.1343773219293,0.0226143819405496,1.62635083454851,0.509960030286035
"Arizona",2005,21.3601092130239,0.0237384277797021,1.84479927554555,0.618088232421198
"Arizona",2006,20.8346899625456,0.0252040109380179,1.68864112346702,0.55568126516407
"Arizona",2007,19.3301993911684,0.0242474431418523,1.52040831633451,0.508592781164517
"Arizona",2008,18.2506670845632,0.0255741779018748,1.45738063522138,0.425362561627443
"Arizona",2009,17.1562880548425,0.0253851656942824,1.17607730727343,0.422903222092571
"Arizona",2010,15.9167119558324,0.025903456398641,1.04703312476406,0.365167990939977
"Arizona",2011,16.6153360067302,0.0268129758833427,0.775924883903533,0.343425169938306
"Arizona",2012,17.8318033673578,0.026512629984051,0.913001744816587,0.342598107389686
"Arizona",2013,15.4795276670061,0.0279726588594705,0.716367177189409,0.320892212321792
"Arizona",2014,16.1123432236244,0.0265590323069157,0.923710209490156,0.4052679432105
"Arizona",2015,12.7049951422944,0.0281438508124077,0.584848466272772,0.355644929591334
"Arizona",2016,15.8111950117647,0.0221373470588235,0.395927191176471,0.468289805882353
"Arkansas",2007,10.7817447335165,0.0247406428571429,3.16049459615385,0.589061087912088
"Arkansas",2008,8.99139492896175,0.0248897404371585,1.76020982103825,0.443435042349727
"Arkansas",2009,9.14633706027397,0.0244871890410959,1.73236545205479,0.423285312328767
"Arkansas",2010,10.0047488375,0.0276499201388889,1.29249432534722,0.454633759722222
"Arkansas",2011,9.9821338109589,0.0274612821917808,1.36553253561644,0.447126724657534
"Arkansas",2012,10.5688275522898,0.0278839234449761,1.30461500546822,0.46736215721121
"Arkansas",2013,9.79167925753425,0.0255774082191781,1.29924153630137,0.384412521232877
"Arkansas",2014,8.86205075616438,0.0238515068493151,1.14163581575342,0.346992064383562
"Arkansas",2015,8.61283287087912,0.0243349313186813,1.11024649038462,0.306022557692308
"Arkansas",2016,8.66111279120879,0.0260095934065934,0.663799510989011,0.322073005494506
"California",2000,17.5809890152343,0.0236747223914918,1.72100380554757,0.644487745875251
"California",2001,17.7608221702265,0.0248443039413234,1.81367101875285,0.622148618360603
"California",2002,16.7551279074283,0.0263422037398541,1.625931129251,0.601790645869722
"California",2003,15.7946417772532,0.0256476396983016,1.49503344459819,0.575378783384883
"California",2004,15.1511409766603,0.0259786912586895,1.82784023070552,0.517947119656855
"California",2005,13.9656642114974,0.0251194206308021,1.65303376731246,0.459535088594822
"California",2006,14.0164587602774,0.0262735663750475,1.38330365140299,0.444420527021096
"California",2007,13.0760233424935,0.0266701980529112,1.2164233821364,0.416035064291686
"California",2008,12.9773577357341,0.0269763764923737,1.09528218926953,0.390693093806345
"California",2009,12.873185457535,0.0261567125490196,1.00694868834734,0.394014948823529
"California",2010,12.2472690780987,0.0256686652226233,0.720865616576414,0.344746777015644
"California",2011,12.2828515112525,0.0261441628267493,0.7093256436628,0.360517009889346
"California",2012,11.0712653118247,0.0268724147140949,0.600589553963822,0.336924606106592
"California",2013,11.7618607247906,0.0260726536571748,0.475554751982133,0.355129164796203
"California",2014,10.8839530020536,0.0269568801267383,0.491995037464061,0.344463193686558
"California",2015,10.2690615128798,0.0275511908531758,0.458648339900128,0.333131400097436
"California",2016,8.10174392436364,0.0253009429090909,0.601275864363636,0.360435970181818
"Colorado",2000,14.9024689890411,0.0170660164383562,2.13805787260274,0.611387954794521
"Colorado",2001,25.7834007165109,0.0163762492211838,2.43769801869159,0.627563186915888
"Colorado",2002,19.7693132099448,0.0206041860036832,2.24678109116022,0.499262121546961
"Colorado",2003,21.0730784678748,0.0194137347611203,1.96331216639209,0.549691688632619
"Colorado",2004,21.6452082507289,0.0172020728862974,1.89854867784257,0.616847329446064
"Colorado",2005,24.1765817873171,0.0188184692682927,1.93043837463415,0.617500188780488
"Colorado",2006,24.6447351386293,0.0204941090342679,2.08455350389408,0.571693031931464
"Colorado",2007,23.8350248321377,0.0216916585365854,1.91932846700143,0.549441253945481
"Colorado",2008,19.0809724709103,0.0256088302532512,1.86022820396988,0.405501203285421
"Colorado",2009,14.2308469375,0.02678281875,1.37065658125,0.35538630625
"Colorado",2010,16.1711378419811,0.0229545495283019,1.02809042924528,0.365696441037736
"Colorado",2011,17.5264909733124,0.027845387755102,1.40749375981162,0.332982973312402
"Colorado",2012,20.3209036290323,0.0263171869501466,1.33634508687683,0.370597906524927
"Colorado",2013,14.3426910295238,0.0287090885714286,1.0601894347619,0.307036816666667
"Colorado",2014,16.9041573748556,0.0272593986595794,0.942433379015484,0.318472675294661
"Colorado",2015,20.0391454448706,0.0244509659635666,1.03426566275168,0.389759068552253
"Colorado",2016,23.6238202862454,0.0209891412639405,1.00442017472119,0.451523953531599
